City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
281,Valladolid,ES,41.5833,-4.6667,63.84,76,58,1.01,broken clouds
282,Maniitsoq,GL,65.4167,-52.9,41.59,98,100,10.31,light rain
283,Mount Gambier,AU,-37.8333,140.7667,54.23,85,16,4.05,few clouds
284,Sept-Iles,CA,50.2001,-66.3821,71.6,67,20,6.91,few clouds
285,Ponta Do Sol,PT,32.6667,-17.1,72.23,80,16,5.23,few clouds
286,Tongzi,CN,28.7829,105.0877,85.82,69,8,3.04,clear sky
287,Ossora,RU,59.2353,163.0719,62.56,75,46,6.67,scattered clouds
288,Talnakh,RU,69.4865,88.3972,52.21,70,70,3.02,broken clouds
289,Domoni,KM,-12.2569,44.5319,72.48,80,0,5.77,light rain
290,Guasdualito,VE,7.2424,-70.7324,78.76,94,20,0.0,few clouds
291,Reconquista,AR,-29.15,-59.65,48.02,82,0,7.25,clear sky
292,Ambon,ID,-3.6954,128.1814,77.14,94,40,4.61,moderate rain
293,Grand Gaube,MU,-20.0064,57.6608,66.6,75,8,5.99,clear sky
294,Santa Maria,BR,-29.6842,-53.8069,43.9,100,20,0.0,fog
295,Beringovskiy,RU,63.05,179.3167,54.66,65,62,3.53,broken clouds
296,Bembereke,BJ,10.2283,2.6634,68.65,85,87,3.24,overcast clouds
297,Te Anau,NZ,-45.4167,167.7167,53.4,72,25,4.47,light rain
298,Darhan,MN,49.4867,105.9228,56.17,80,100,5.48,heavy intensity rain
299,Voh,NC,-20.9667,164.7,81.03,66,48,5.1,scattered clouds
300,Bathsheba,BB,13.2167,-59.5167,83.01,89,20,16.11,few clouds
301,Inhambane,MZ,-23.865,35.3833,67.33,86,0,4.88,clear sky
302,Oussouye,SN,12.485,-16.5469,76.98,89,99,5.7,light rain
303,Havoysund,NO,70.9963,24.6622,50.23,80,3,9.8,clear sky
304,Curaca,BR,-8.9903,-39.9094,72.37,70,6,16.4,clear sky
305,Raudeberg,NO,61.9875,5.1352,48.96,62,100,10.63,light rain
306,Huarmey,PE,-10.0681,-78.1522,62.91,84,74,11.41,broken clouds
307,Tartus,SY,34.889,35.8866,79.41,76,0,4.14,clear sky
308,Ambalavao,MG,-21.8333,46.9333,53.67,84,1,1.05,clear sky
309,Mamlyutka,KZ,54.9375,68.5394,64.47,72,8,5.1,clear sky
310,Blythe,US,33.6103,-114.5964,102.65,27,0,8.05,clear sky
311,Nanortalik,GL,60.1432,-45.2371,45.39,97,100,9.8,moderate rain
312,Bosaso,SO,11.2842,49.1816,89.42,39,4,23.15,clear sky
313,Dalby,AU,-27.1833,151.2667,61.99,72,95,3.0,overcast clouds
314,Passo De Camaragibe,BR,-9.2368,-35.4901,72.95,92,63,1.79,broken clouds
315,Almenara,BR,-16.1836,-40.6944,66.07,89,12,2.89,few clouds
316,Hambantota,LK,6.1241,81.1185,77.34,100,20,8.05,few clouds
317,Goundam,ML,16.4145,-3.6708,85.6,52,6,7.56,clear sky
318,Antsohihy,MG,-14.8796,47.9875,61.59,76,2,3.65,clear sky
319,Kaitangata,NZ,-46.2817,169.8464,56.73,68,81,5.12,broken clouds
320,Beyla,GN,8.6833,-8.6333,66.83,99,100,2.37,overcast clouds
321,Lazaro Cardenas,MX,17.9583,-102.2,81.23,74,13,3.53,few clouds
322,Egvekinot,RU,66.3167,-179.1667,51.64,46,96,18.84,overcast clouds
323,Kiruna,SE,67.8557,20.2251,38.32,87,24,5.75,few clouds
324,Konevo,RU,62.1215,39.3192,60.71,81,0,5.77,clear sky
325,Norman Wells,CA,65.282,-126.8329,80.64,32,75,10.36,broken clouds
326,Pangoa,PE,-12.1167,-73.0,66.07,98,100,1.52,overcast clouds
327,Lovington,US,32.944,-103.3485,92.25,29,93,1.99,overcast clouds
328,Yulara,AU,-25.2406,130.9889,59.38,28,0,8.28,clear sky
329,Geraldton,AU,-28.7667,114.6,52.21,82,1,12.66,clear sky
