City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
130,Port Elizabeth,ZA,2022-07-31 23:14:22,-33.918,25.5701,48.31,83,3,1.99
131,Alofi,NU,2022-07-31 23:14:23,-19.0595,-169.9187,77.45,79,2,21.7
132,Hamilton,US,2022-07-31 23:14:23,39.1834,-84.5333,80.31,75,0,5.75
133,Lebedinyy,RU,2022-07-31 23:14:23,58.5167,125.5167,65.26,77,100,7.43
134,Belyy Yar,RU,2022-07-31 23:10:00,53.6039,91.3903,60.69,92,0,2.24
135,Peleduy,RU,2022-07-31 23:15:24,59.6289,112.7406,61.7,96,99,3.83
136,Codrington,AU,2022-07-31 23:15:24,-38.2667,141.9667,46.08,91,33,16.2
137,Boa Vista,BR,2022-07-31 23:15:24,2.8197,-60.6733,82.38,69,20,5.75
138,Leshukonskoye,RU,2022-07-31 23:15:25,64.8989,45.7622,57.92,98,99,2.73
139,Yulara,AU,2022-07-31 23:15:25,-25.2406,130.9889,49.86,42,39,9.42
140,Yellowknife,CA,2022-07-31 23:15:25,62.456,-114.3525,64.92,45,40,6.91
141,Sitka,US,2022-07-31 23:10:53,57.0531,-135.33,57.09,88,100,8.05
142,Klaksvik,FO,2022-07-31 23:15:26,62.2266,-6.589,50.4,85,28,12.57
143,Suntar,RU,2022-07-31 23:15:26,62.1444,117.6319,63.64,93,99,4.54
144,Tefe,BR,2022-07-31 23:15:26,-3.3542,-64.7114,84.31,79,0,3.44
145,Camana,PE,2022-07-31 23:15:26,-16.6228,-72.7111,59.99,81,61,5.19
146,Shyryayeve,UA,2022-07-31 23:15:27,47.3805,30.1964,67.46,74,96,10.0
147,Merrill,US,2022-07-31 23:15:27,45.1805,-89.6835,81.1,56,0,9.22
148,Dauphin,CA,2022-07-31 23:15:27,51.1494,-100.0502,69.94,68,75,4.61
149,Pisco,PE,2022-07-31 23:11:19,-13.7,-76.2167,60.85,82,100,6.91
150,Damghan,IR,2022-07-31 23:15:28,36.1683,54.348,77.45,40,78,1.52
151,Wichian Buri,TH,2022-07-31 23:15:28,15.6578,101.106,75.25,90,100,1.92
152,Teya,RU,2022-07-31 23:13:48,60.3778,92.6267,53.13,91,100,4.61
153,Saint-Pierre,RE,2022-07-31 23:13:07,-21.3393,55.4781,67.91,68,0,6.91
154,Karata,RU,2022-07-31 23:15:29,42.5949,46.3393,58.71,80,78,3.67
155,Chupa,RU,2022-07-31 23:15:29,66.27,33.0549,53.87,90,93,4.16
156,Punta Arenas,CL,2022-07-31 23:15:29,-53.15,-70.9167,42.12,75,100,11.23
157,Marsa Matruh,EG,2022-07-31 23:15:29,31.3525,27.2453,77.99,84,29,12.8
158,Tyrma,RU,2022-07-31 23:15:30,50.0833,132.1667,69.03,98,98,2.84
159,Vila Franca Do Campo,PT,2022-07-31 23:15:30,37.7167,-25.4333,72.01,82,71,4.07
160,Salalah,OM,2022-07-31 23:15:30,17.0151,54.0924,77.09,88,75,9.22
161,Dwarka,IN,2022-07-31 23:15:31,22.2394,68.9678,80.71,81,80,20.2
162,Sorong,ID,2022-07-31 23:15:31,-0.8833,131.25,78.06,86,80,4.59
163,Tudela,ES,2022-07-31 23:15:31,42.0617,-1.6045,72.5,72,0,11.03
164,Fortuna,US,2022-07-31 23:15:31,40.5982,-124.1573,70.93,77,0,9.22
165,Katsuura,JP,2022-07-31 23:15:32,35.1333,140.3,84.56,76,82,5.14
166,Mahina,PF,2022-07-31 23:15:32,-17.5065,-149.489,83.97,58,40,9.22
167,Sao Gabriel Da Cachoeira,BR,2022-07-31 23:15:32,-0.1303,-67.0892,77.38,85,78,0.43
168,Kavaratti,IN,2022-07-31 23:15:33,10.5669,72.642,80.44,80,100,23.89
169,Naze,JP,2022-07-31 23:15:33,28.3667,129.4833,81.52,84,100,20.71
170,Gavrilov-Yam,RU,2022-07-31 23:15:33,57.3018,39.8533,49.84,76,41,3.13
171,Rosarito,MX,2022-07-31 23:15:34,32.3333,-117.0333,88.66,61,20,8.97
172,Bani,DO,2022-07-31 23:15:34,18.2833,-70.3333,76.44,71,58,13.49
173,Ostrovnoy,RU,2022-07-31 23:15:34,68.0531,39.5131,56.1,79,87,5.35
174,Wuwei,CN,2022-07-31 23:15:35,37.9281,102.6414,70.29,67,37,5.91
175,Buin,CL,2022-07-31 23:15:35,-33.7333,-70.75,58.42,78,94,1.07
176,Dubbo,AU,2022-07-31 23:11:31,-32.25,148.6167,51.93,93,100,5.75
177,Mogadishu,SO,2022-07-31 23:15:35,2.0371,45.3438,75.87,84,13,16.89
178,Matehuala,MX,2022-07-31 23:15:36,23.65,-100.65,81.93,29,7,14.74
179,Asau,RO,2022-07-31 23:15:36,46.4333,26.4,61.72,94,95,6.2
180,Ilulissat,GL,2022-07-31 23:13:55,69.2167,-51.1,59.02,41,40,16.11
181,Puerto Ayora,EC,2022-07-31 23:15:36,-0.7393,-90.3518,72.55,87,85,5.99
182,Necochea,AR,2022-07-31 23:15:37,-38.5473,-58.7368,51.64,79,76,7.45
183,Kaitangata,NZ,2022-07-31 23:16:37,-46.2817,169.8464,41.95,77,7,7.31
184,Lebu,CL,2022-07-31 23:16:14,-37.6167,-73.65,47.01,83,95,5.3
185,Namatanai,PG,2022-07-31 23:13:54,-3.6667,152.4333,83.23,72,94,8.5
186,Pangnirtung,CA,2022-07-31 23:16:37,66.1451,-65.7125,49.44,79,99,1.43
187,Arvi,IN,2022-07-31 23:16:38,20.9833,78.2333,78.87,83,100,3.53
188,Port Lincoln,AU,2022-07-31 23:15:52,-34.7333,135.8667,53.98,77,3,12.48
189,Cozumel,MX,2022-07-31 23:16:38,20.5083,-86.9458,89.67,73,40,10.36
190,Mezen,RU,2022-07-31 23:16:38,65.8522,44.24,58.03,98,100,4.07
191,Alakurtti,RU,2022-07-31 23:16:39,66.9672,30.3491,53.46,99,100,2.04
192,San Quintin,MX,2022-07-31 23:16:39,30.4833,-115.95,76.17,60,26,10.27
193,Trairi,BR,2022-07-31 23:12:05,-3.2778,-39.2689,78.24,81,18,10.92
194,Synya,RU,2022-07-31 23:16:39,65.3718,58.0387,53.98,68,31,4.12
195,Hofn,IS,2022-07-31 23:16:40,64.2539,-15.2082,52.41,62,82,10.38
196,Tuy Hoa,VN,2022-07-31 23:16:29,13.0833,109.3,77.25,90,100,4.76
197,Coquimbo,CL,2022-07-31 23:16:40,-29.9533,-71.3436,55.13,94,40,6.91
198,Boyolangu,ID,2022-07-31 23:16:40,-8.1181,111.8935,69.58,91,82,0.69
199,Ouesso,CG,2022-07-31 23:16:41,1.6136,16.0517,72.43,82,98,2.75
200,Port Macquarie,AU,2022-07-31 23:16:41,-31.4333,152.9167,56.89,70,100,10.63
201,Riverton,US,2022-07-31 23:16:01,40.5219,-111.9391,99.64,22,0,8.99
202,Tura,IN,2022-07-31 23:16:41,25.5198,90.2201,73.65,99,100,5.75
